samples
DRR146894
DRR146906
ERR1356733
ERR2660556
ERR2737479
ERR3010915
ERR3179625
SRR10030315
SRR10064025
SRR10143185
SRR10143187
SRR10255703
SRR10307214
SRR10307240
SRR10323722
SRR10357996
SRR10357997
SRR10613610
SRR10693484
SRR10695228
SRR10860874
SRR10861970
SRR11393268
SRR11450585
SRR11613504
SRR11613515
SRR12681654
SRR1276187
SRR12855025
SRR12904122
SRR13215577
SRR1777513
SRR1778740
SRR1778741
SRR1778742
SRR1778782
SRR1778783
SRR1778784
SRR1778785
SRR1781945
SRR1782579
SRR1782604
SRR1784304
SRR1785207
SRR1785209
SRR1785350
SRR2006803
SRR2043650
SRR2043651
SRR2043652
SRR2043653
SRR2086712
SRR2086713
SRR2086716
SRR3193092
SRR3195290
SRR3401303
SRR3624128
SRR4242136
SRR4435986
SRR4435987
SRR4435988
SRR4435989
SRR4435991
SRR4830146
SRR4934311
SRR4934495
SRR4934687
SRR4934799
SRR4934910
SRR4934934
SRR4934935
SRR4934936
SRR4934937
SRR5058322
SRR5058323
SRR5087330
SRR5087331
SRR5087332
SRR5087333
SRR5087334
SRR5087335
SRR5087336
SRR5087337
SRR5087338
SRR5087339
SRR5087340
SRR5087341
SRR5087342
SRR5087343
SRR5087344
SRR5087358
SRR5087359
SRR5087360
SRR5087361
SRR5087362
SRR5087363
SRR5087364
SRR5087365
SRR5087366
SRR5087367
SRR5087368
SRR5087369
SRR5087370
SRR5087371
SRR5087372
SRR5087373
SRR5087374
SRR5087375
SRR5087376
SRR5087377
SRR5087378
SRR5087379
SRR5087380
SRR5087381
SRR5087382
SRR5087383
SRR5087384
SRR5087385
SRR5087386
SRR5087387
SRR5087388
SRR5087389
SRR5087390
SRR5087391
SRR5087392
SRR5087393
SRR5087394
SRR5087395
SRR5087396
SRR5087397
SRR5087398
SRR5087399
SRR5087400
SRR5087401
SRR5087402
SRR5087403
SRR5087404
SRR5087405
SRR5087406
SRR5087407
SRR5087408
SRR5087409
SRR5087410
SRR5087411
SRR5087412
SRR5087413
SRR5087414
SRR5087415
SRR5087416
SRR5087417
SRR5150722
SRR5186269
SRR5186270
SRR5186291
SRR5892087
SRR5892088
SRR6036271
SRR6038364
SRR6233752
SRR6233753
SRR6233754
SRR6233755
SRR6233756
SRR6233757
SRR6233758
SRR6233759
SRR6233760
SRR6233761
SRR6233762
SRR6233763
SRR6233764
SRR6233765
SRR6233766
SRR6233767
SRR6233768
SRR6233769
SRR6233770
SRR6233771
SRR6233772
SRR6233773
SRR6233774
SRR6233775
SRR6233776
SRR6233777
SRR6233778
SRR6233779
SRR6233780
SRR6233781
SRR6233782
SRR6233783
SRR6233784
SRR6233785
SRR6233786
SRR6233787
SRR6233788
SRR6233789
SRR6233790
SRR6233791
SRR6660821
SRR6846452
SRR6846476
SRR6973926
SRR7007216
SRR7227115
SRR7227117
SRR7288019
SRR7516198
SRR769314
SRR769315
SRR769316
SRR7755089
SRR7976660
SRR7976667
SRR8197443
SRR8455902
SRR8455903
SRR8455904
SRR8455905
SRR8455906
SRR8455907
SRR8455908
SRR8455909
SRR8455910
SRR8455911
SRR8455912
SRR8455913
SRR8554352
SRR8658352
SRR8658353
SRR8658354
SRR8658355
SRR8658356
SRR8658357
SRR8658358
SRR8658359
SRR8658360
SRR8727441
SRR8727442
SRR8727443
SRR8749691
SRR8749692
SRR8749693
SRR8749694
SRR8749695
SRR8749696
SRR8785184
SRR9317871
SRR949106
SRR9596414
SRR9665731
SRR9960037
SRR9960038
